gene,frequency
CG31776,0.0
CG31759,0.0
CG31706,0.0
CG17919,0.0
CG31704,0.0
CG31690,0.0
CG31689,0.0
CG31627,0.0
CG31445,0.0
CG31436,0.0
CG31415,0.0
CG31345,0.0
CG31342,0.0
CG31324,0.0
CG31323,0.0
CG31313,0.0
CG31262,0.0
CG31248,0.0
CG31705,0.0
CG33233,0.0
CG33217,0.0
CG33178,0.0
CG33143,0.0
CG33137,0.0
CG33111,0.0
CG33098,0.0
CG3308,0.0
CG3301,0.0
CG32982,0.0
CG32816,0.0
CG3277,0.0
CG32698,0.0
CG32683,0.0
CG32074,0.0
CG32639,0.0
CG32625,0.0
CG3257,0.0
CG32547,0.0
CG32521,0.0
CG32506,0.0
CG32368,0.0
CG32365,0.0
CG32266,0.0
CG32259,0.0
CG32232,0.0
CG32204,0.0
CG32150,0.0
CG32137,0.0
CG32647,0.0
CG2556,0.0
CG2321,0.0
CG2310,0.0
CG2269,0.0
CG2233,0.0
CG2157,0.0
CG2145,0.0
CG2118,0.0
CG2111,0.0
CG2082,0.0
CG2065,0.0
CG2010,0.0
CG18858,0.0
CG18823,0.0
CG31221,0.0
CG18507,0.0
CG18473,0.0
CG18467,0.0
CG18336,0.0
CG18327,0.0
CG18304,0.0
CG18190,0.0
CG18107,0.0
CG18067,0.0
CG18063,0.0
CG18011,0.0
CG1801,0.0
CG18003,0.0
CG17928,0.0
CG18598,0.0
CG31220,0.0
CG31200,0.0
CG31176,0.0
CG31156,0.0
CG31121,0.0
CG30466,0.0
CG30463,0.0
CG30457,0.0
CG30441,0.0
CG30393,0.0
CG30380,0.0
CG3038,0.0
CG3036,0.0
CG30357,0.0
CG2781,0.0
CG30285,0.0
CG30280,0.0
CG30203,0.0
CG30159,0.0
CG30154,0.0
CG30116,0.0
CG30099,0.0
CG3009,0.0
CG30053,0.0
CG30050,0.0
CG30026,0.0
CG30020,0.0
CG30016,0.0
CG30001,0.0
CG2841,0.0
CG30324,0.0
bru3,0.0
bru2,0.0
bru1,0.0
brat,0.0
br,0.0
bowl,0.0
boss,0.0
boil,0.0
bnl,0.0
bnb,0.0
bma,0.0
blot,0.0
BicD,0.0
bi,0.0
CG14117,0.0
betaNACtes6,0.0
betaNACtes3,0.0
beta-Man,0.0
beat-VII,0.0
beat-VI,0.0
beat-Va,0.0
beat-IV,0.0
beat-IIIc,0.0
beat-IIIb,0.0
beat-IIb,0.0
beat-IIa,0.0
beat-Ic,0.0
beat-Ib,0.0
beat-Ia,0.0
betaTub56D,0.0
CG10283,0.0
CG10257,0.0
CG10237,0.0
CG10226,0.0
CG10202,0.0
CG10184,0.0
CG10175,0.0
CG10089,0.0
CG10031,0.0
Cep135,0.0
Cdk4,0.0
Cdk2,0.0
Cdk1,0.0
Ccn,0.0
bsh,0.0
CCHa1,0.0
Cbp53E,0.0
caup,0.0
Cap-D2,0.0
Calx,0.0
CAH2,0.0
CAH1,0.0
Ca-alpha1T,0.0
by,0.0
Bx,0.0
bw,0.0
Buffy,0.0
Btk29A,0.0
bt,0.0
CCHa2,0.0
wry,0.0
Wnt4,0.0
Wnt10,0.0
wisp,0.0
whd,0.0
Whamy,0.0
5-HT1A,0.0
wdn,0.0
vvl,0.0
Vsx2,0.0
vret,0.0
Vps39,0.0
vnd,0.0
Vmat,0.0
bcd,0.0
AstA,0.0
Uhg3,0.0
ACXB,0.0
Acp53C14b,0.0
acj6,0.0
Achl,0.0
Ace,0.0
acal,0.0
Ac78C,0.0
Ac76E,0.0
Ac13E,0.0
ab,0.0
a10,0.0
a,0.0
Wdr62,0.0
BBS4,0.0
bab2,0.0
b,0.0
Awh,0.0
aurB,0.0
aub,0.0
AttC,0.0
ATPsynepsilonL,0.0
ATPsynCF6L,0.0
AstC-R2,0.0
AstC-R1,0.0
AstCC,0.0
AstA-R2,0.0
AstA-R1,0.0
Wsck,0.0
zyd,0.0
zormin,0.0
ZnT41F,0.0
zld,0.0
Zip71B,0.0
zfh2,0.0
zfh1,0.0
ytr,0.0
Yp3,0.0
yata,0.0
XRCC1,0.0
xmas-2,0.0
wus,0.0
wtrw,0.0
Aldh,0.0
CG13305,0.0
CG13300,0.0
CG13272,0.0
CG13243,0.0
CG13229,0.0
CG13203,0.0
CG13185,0.0
CG13138,0.0
CG13116,0.0
CG13091,0.0
CG13077,0.0
CG13071,0.0
CG13055,0.0
CG13054,0.0
CG10336,0.0
CG13012,0.0
CG13003,0.0
CG12994,0.0
CG12974,0.0
CG12947,0.0
CG12934,0.0
CG12898,0.0
CG1287,0.0
CG12857,0.0
CG12826,0.0
CG12811,0.0
CG12780,0.0
CG12723,0.0
CG12655,0.0
CG13051,0.0
CG14105,0.0
CG14082,0.0
CG14074,0.0
CG14050,0.0
CG14044,0.0
CG14024,0.0
CG14022,0.0
CG1402,0.0
CG13954,0.0
CG13869,0.0
CG13741,0.0
CG13739,0.0
CG13707,0.0
CG13698,0.0
CG13373,0.0
CG13678,0.0
CG13659,0.0
CG13658,0.0
CG13631,0.0
CG13618,0.0
CG13599,0.0
CG13594,0.0
CG13581,0.0
CG1358,0.0
CG13579,0.0
CG13562,0.0
CG13488,0.0
CG13408,0.0
CG13376,0.0
CG13692,0.0
CG11267,0.0
CG11221,0.0
CG11191,0.0
CG11180,0.0
CG11125,0.0
CG11085,0.0
CG11044,0.0
CG11000,0.0
CG10993,0.0
CG10970,0.0
CG10947,0.0
CG10939,0.0
CG10919,0.0
CG10869,0.0
CG12594,0.0
CG10804,0.0
CG10799,0.0
CG1077,0.0
CG10680,0.0
CG10527,0.0
CG10513,0.0
CG10479,0.0
CG10472,0.0
CG10462,0.0
CG10445,0.0
CG10433,0.0
CG10405,0.0
CG10384,0.0
CG10352,0.0
CG10827,0.0
CG12541,0.0
CG12502,0.0
CG12344,0.0
CG12290,0.0
CG12256,0.0
CG12239,0.0
CG12182,0.0
CG1213,0.0
CG12116,0.0
CG12065,0.0
CG11961,0.0
CG11898,0.0
CG11841,0.0
CG11791,0.0
CG11294,0.0
CG11756,0.0
CG11700,0.0
CG11686,0.0
CG11674,0.0
CG11635,0.0
CG1146,0.0
CG11438,0.0
CG11406,0.0
CG11399,0.0
CG11391,0.0
CG11384,0.0
CG11382,0.0
