gene,frequency
dpr8,0.0
dpr9,0.0
dpy,0.0
Dr,0.0
Drep1,0.0
Drep3,0.0
Dop2R,0.0
DopEcR,0.0
dpr10,0.0
dpr13,0.0
dpr17,0.0
dpr18,0.0
dpr2,0.0
dpr20,0.0
fabp,0.0
fal,0.0
Fas2,0.0
Fas3,0.0
fax,0.0
Fbw5,0.0
fd59A,0.0
fend,0.0
Esyt2,0.0
Ets65A,0.0
Ets96B,0.0
Ets97D,0.0
euc,0.0
exp,0.0
e(y)2,0.0
eya,0.0
EloA,0.0
emb,0.0
EndoG,0.0
Ent1,0.0
Epac,0.0
ERR,0.0
Es2,0.0
Est-Q,0.0
EDTP,0.0
eEF1beta,0.0
Efa6,0.0
eIF2gamma,0.0
Eip63F-1,0.0
Eip74EF,0.0
Eip93F,0.0
Elk,0.0
GalNAc-T1,0.0
CG12502,0.0
CG12594,0.0
CG12608,0.0
CG12716,0.0
CG1275,0.0
CG12769,0.0
CG12773,0.0
fru,0.0
fs(2)ltoPP43,0.0
ftz-f1,0.0
Fur1,0.0
fuss,0.0
fz,0.0
Gad1,0.0
Gadd45,0.0
FMRFaR,0.0
fog,0.0
fok,0.0
for,0.0
foxo,0.0
fred,0.0
Frq1,0.0
frtz,0.0
FER,0.0
Fer1,0.0
Fic,0.0
Fie,0.0
Fife,0.0
Fkbp14,0.0
fkh,0.0
FMRFa,0.0
Gbs-76A,0.0
gce,0.0
Gclc,0.0
gdl,0.0
GEFmeso,0.0
gek,0.0
Gfrl,0.0
gfzf,0.0
CG13203,0.0
CG13204,0.0
CG13229,0.0
CG13231,0.0
Galphai,0.0
garz,0.0
GATAd,0.0
gb,0.0
CG13001,0.0
CG13005,0.0
CG13018,0.0
CG13054,0.0
CG13056,0.0
CG13088,0.0
CG13124,0.0
CG13185,0.0
CG12795,0.0
CG12836,0.0
CG12868,0.0
CG12877,0.0
CG12910,0.0
CG12926,0.0
CG12942,0.0
CG12994,0.0
GstE3,0.0
GstE6,0.0
GstT2,0.0
Gycbeta100B,0.0
H15,0.0
haf,0.0
hbn,0.0
HBS1,0.0
Grd,0.0
Grip163,0.0
Grip71,0.0
Gs2,0.0
GstD1,0.0
GstD11,0.0
GstE12,0.0
GstE2,0.0
GluRIA,0.0
GluRIB,0.0
Gmd,0.0
gny,0.0
gogo,0.0
Gpb5,0.0
Gr28b,0.0
Gr61a,0.0
gig,0.0
GILT1,0.0
GILT2,0.0
GILT3,0.0
Git,0.0
gl,0.0
Gld2,0.0
glu,0.0
Hsp60A,0.0
Hsp67Ba,0.0
CG11378,0.0
CG11399,0.0
CG11403,0.0
CG11407,0.0
CG11425,0.0
CG11426,0.0
hng3,0.0
hoe1,0.0
hoip,0.0
hop,0.0
Hsc70-3,0.0
Hsf,0.0
Hsl,0.0
Hsp27,0.0
HGTX,0.0
hid,0.0
Hipk,0.0
His2B:CG33868,0.0
His-Psi:CR31614,0.0
Hmgs,0.0
HmgZ,0.0
Hmr,0.0
HDAC6,0.0
hdc,0.0
HEATR2,0.0
heix,0.0
Hem,0.0
Hen1,0.0
heph,0.0
Hexo2,0.0
Hsp70Ab,0.0
Hsp70Ba,0.0
htl,0.0
I-3,0.0
IA-2,0.0
Ice2,0.0
Idgf3,0.0
Idgf4,0.0
CG12301,0.0
CG12325,0.0
CG1234,0.0
CG12484,0.0
CG12499,0.0
Hsp67Bc,0.0
Hsp68,0.0
Hsp70Aa,0.0
CG12010,0.0
CG12065,0.0
CG12128,0.0
CG12171,0.0
CG12179,0.0
CG12239,0.0
CG12253,0.0
CG12290,0.0
CG11596,0.0
CG11696,0.0
CG11723,0.0
CG11791,0.0
CG11807,0.0
CG11836,0.0
CG11906,0.0
CG12007,0.0
kek1,0.0
kek2,0.0
kek5,0.0
KFase,0.0
Kif3C,0.0
klg,0.0
Klp31E,0.0
Kmn1,0.0
JhI-26,0.0
jim,0.0
jing,0.0
jnj,0.0
JTBR,0.0
jub,0.0
jv,0.0
kat-60L1,0.0
Inx7,0.0
IP3K1,0.0
Ir76a,0.0
Irc,0.0
Irk2,0.0
ITP,0.0
Itp-r83A,0.0
jet,0.0
igl,0.0
ImpE1,0.0
ImpL2,0.0
ImpL3,0.0
Ino80,0.0
IntS12,0.0
Invadolysin,0.0
Inx2,0.0
Lmx1a,0.0
loj,0.0
lox,0.0
LpR1,0.0
LRP1,0.0
Lrpprc2,0.0
CG10616,0.0
CG10669,0.0
lbm,0.0
LeuRS-m,0.0
Lgr3,0.0
lid,0.0
Lim1,0.0
Liprin-alpha,0.0
Lkr,0.0
LKRSDH,0.0
l(2)37Cg,0.0
l(2)dtl,0.0
l(2)k10201,0.0
l(3)72Dp,0.0
l(3)76BDm,0.0
l(3)mbt,0.0
Lac,0.0
laccase2,0.0
kn,0.0
kto,0.0
kug,0.0
kuk,0.0
l(1)G0289,0.0
l(1)G0469,0.0
l(2)05714,0.0
l(2)37Cd,0.0
Ltn1,0.0
luna,0.0
mab-21,0.0
mAChR-A,0.0
Magi,0.0
mbc,0.0
MBD-R2,0.0
mbl,0.0
CG11221,0.0
CG11247,0.0
CG11284,0.0
CG11294,0.0
CG11307,0.0
CG11309,0.0
CG11317,0.0
Lsd-2,0.0
CG10970,0.0
CG10973,0.0
CG10979,0.0
CG11030,0.0
CG1105,0.0
CG11085,0.0
CG1113,0.0
CG11200,0.0
CG10738,0.0
CG10747,0.0
CG10804,0.0
CG10809,0.0
CG10863,0.0
CG10907,0.0
CG10927,0.0
CG10958,0.0
Mkp3,0.0
Mkrn1,0.0
Mmp2,0.0
Mms19,0.0
mnd,0.0
Mp,0.0
MRE23,0.0
mRRF1,0.0
mib1,0.0
mid,0.0
mio,0.0
Mip,0.0
mip130,0.0
mirr,0.0
Mis12,0.0
Mitf,0.0
MESK2,0.0
mew,0.0
Mf,0.0
mfas,0.0
mgl,0.0
Mhcl,0.0
mi,0.0
mia,0.0
mbt,0.0
Mcr,0.0
Mct1,0.0
m-cup,0.0
MED14,0.0
MED24,0.0
Meltrin,0.0
MEP-1,0.0
Myo95E,0.0
MYPT-75D,0.0
nAChRalpha3,0.0
nAChRalpha7,0.0
CCHa1,0.0
CCHa1-R,0.0
CCHa2,0.0
CCKLR-17D3,0.0
Muc14A,0.0
Mul1,0.0
mus201,0.0
Mvl,0.0
Myc,0.0
myo,0.0
Myo31DF,0.0
Myo81F,0.0
Mst36Fb,0.0
mTerf5,0.0
mthl1,0.0
mthl10,0.0
MtnA,0.0
mt:ND1,0.0
mt:tRNA:Arg-TCG,0.0
mt:tRNA:Cys-GCA,0.0
Mrtf,0.0
msd1,0.0
msi,0.0
msl-1,0.0
Msp300,0.0
mspo,0.0
MsR1,0.0
Msr-110,0.0
CG10550,0.0
Nelf-A,0.0
nemy,0.0
Nep2,0.0
nerfin-2,0.0
NetB,0.0
Neurl4,0.0
NFAT,0.0
CG10395,0.0
